episode,reward,steps,actor_loss,critic_loss,entropy,moving_avg_100,elapsed_s
1,-202.36,77,-0.01385,555.66954,1.38549,-202.36,0.4
2,-386.46,88,-0.01384,598.39261,1.38423,-294.41,0.6
3,-225.61,86,-0.01383,485.72753,1.3835,-271.48,0.8
4,-127.43,58,-0.01379,333.33536,1.37922,-235.47,1.0
5,-81.28,122,-0.0138,211.08252,1.37967,-204.63,1.3
6,-250.72,88,-0.01377,285.0599,1.37712,-212.31,1.5
7,-165.94,103,-0.0138,195.87454,1.37966,-205.69,1.7
8,-89.34,67,-0.01373,291.91756,1.37252,-191.14,1.9
9,-397.83,97,-0.0138,337.96044,1.37991,-214.11,2.1
10,-123.24,72,-0.01381,244.16177,1.38122,-205.02,2.3
11,-171.57,99,-0.01383,123.04094,1.38344,-201.98,2.5
12,-85.21,69,-0.01381,224.25473,1.38131,-192.25,2.7
13,-333.48,71,-0.01386,362.17093,1.38555,-203.11,2.9
14,-254.9,67,-0.01379,319.40283,1.37869,-206.81,3.0
15,-304.64,125,-0.01381,223.77224,1.38095,-213.33,3.3
16,-296.54,78,-0.01383,357.76553,1.38323,-218.53,3.5
17,-162.74,88,-0.01384,100.37538,1.38381,-215.25,3.7
18,-245.83,117,-0.01382,101.3612,1.38225,-216.95,4.0
19,-321.49,102,-0.01378,120.13903,1.37832,-222.45,4.3
20,-180.48,73,-0.01381,100.24481,1.38086,-220.35,4.4
21,-260.73,84,-0.01384,205.85995,1.38408,-222.28,4.7
22,-88.75,59,-0.01382,66.1615,1.38223,-216.21,4.8
23,-296.24,99,-0.01385,102.86966,1.38462,-219.69,5.0
24,-123.75,105,-0.01384,15.7751,1.3843,-215.69,5.3
25,-220.86,115,-0.01382,60.49889,1.38156,-215.9,5.5
26,-238.09,99,-0.01383,56.01809,1.38293,-216.75,5.8
27,-236.36,98,-0.01385,34.05943,1.38454,-217.48,6.0
28,-99.7,61,-0.0138,164.88187,1.3802,-213.27,6.2
29,-117.26,103,-0.01384,27.17551,1.38408,-209.96,6.4
30,-106.9,94,-0.01385,30.90705,1.38467,-206.52,6.7
31,-520.04,107,-0.01382,183.47763,1.38249,-216.64,6.9
32,-77.31,139,-0.01383,84.13276,1.38349,-212.28,7.2
33,-127.33,70,-0.01385,17.97357,1.38526,-209.71,7.4
34,-317.29,88,-0.01383,746.69766,1.3828,-212.87,7.6
35,-132.38,86,-0.01384,46.51192,1.38425,-210.57,7.8
36,-238.08,109,-0.01381,28.77064,1.38107,-211.34,8.0
37,-115.98,65,-0.01385,22.43305,1.38454,-208.76,8.2
38,-231.8,101,-0.01376,69.87482,1.37596,-209.37,8.4
39,-153.26,123,-0.01382,21.14169,1.38184,-207.93,8.7
40,-66.24,67,-0.01385,42.94961,1.38476,-204.39,8.9
41,-339.35,74,-0.01382,119.37088,1.3823,-207.68,9.0
42,-105.04,68,-0.01386,30.44186,1.38592,-205.23,9.2
43,-265.58,106,-0.01386,23.47196,1.38611,-206.64,9.4
44,-99.57,80,-0.01386,17.95818,1.38601,-204.2,9.6
45,-108.12,64,-0.01386,15.87695,1.38626,-202.07,9.8
46,-66.96,78,-0.01386,29.87651,1.38616,-199.13,9.9
47,-385.67,89,-0.01386,392.02146,1.38567,-203.1,10.2
48,-133.59,92,-0.01386,35.00297,1.38619,-201.65,10.4
49,-300.92,95,-0.01386,52.89996,1.38556,-203.68,10.6
50,-395.16,124,-0.01385,335.59569,1.38539,-207.51,10.9
51,-358.96,94,-0.01386,62.47136,1.38613,-210.48,11.1
52,35.29,81,-0.01386,782.03007,1.38606,-205.75,11.3
53,-94.93,115,-0.01386,16.83441,1.38624,-203.66,11.6
54,-19.16,109,-0.01386,175.35947,1.3861,-200.24,11.9
55,-85.62,120,-0.01386,23.95002,1.38621,-198.16,12.2
56,-101.79,96,-0.01386,82.85092,1.38622,-196.44,12.4
57,-79.26,99,-0.01386,286.09215,1.38624,-194.38,12.7
58,-253.14,106,-0.01386,29.2682,1.38625,-195.4,12.9
59,-330.21,88,-0.01386,795.33276,1.38616,-197.68,13.2
60,-296.86,117,-0.01386,16.15021,1.38625,-199.33,13.4
61,-401.9,127,-0.01386,107.90256,1.3861,-202.65,13.7
62,-115.24,97,-0.01386,21.56561,1.38616,-201.24,14.0
63,-89.31,77,-0.01386,28.1013,1.38611,-199.47,14.2
64,-196.23,75,-0.01385,14.00303,1.38546,-199.42,14.3
65,-292.98,69,-0.01386,73.82358,1.38601,-200.86,14.5
66,-81.73,67,-0.01386,23.017,1.38615,-199.05,14.7
67,-88.15,67,-0.01386,24.53514,1.38622,-197.4,14.8
68,-206.16,98,-0.01386,107.75925,1.3862,-197.53,15.1
69,-171.78,86,-0.01386,14.75086,1.38622,-197.15,15.3
70,-294.34,90,-0.01386,29.4405,1.38617,-198.54,15.5
71,-95.51,67,-0.01386,19.385,1.38615,-197.09,15.7
72,-98.78,67,-0.01386,29.3047,1.3862,-195.72,15.9
73,-87.17,71,-0.01386,39.51353,1.38628,-194.24,16.1
74,-240.85,128,-0.01386,50.26277,1.38627,-194.87,16.4
75,-184.84,105,-0.01386,11.29627,1.38619,-194.73,16.6
