episode,reward,length,loss
0,-124.80382758893572,101,-0.17277264595031738
1,-132.21200933481168,88,0.7580097913742065
2,-437.7386778026841,110,-0.10692858695983887
3,-112.41904064694144,86,0.3421366214752197
4,-269.158364458557,97,0.8400251865386963
5,-91.00361839566854,120,0.23535490036010742
6,-96.19212062376458,76,0.3196582794189453
7,-246.53666715620355,85,0.1009289026260376
8,-214.06812794883228,70,0.24126195907592773
9,-189.64101699183587,110,0.15777695178985596
10,-121.51960406061534,98,-0.3893340826034546
11,-371.5427441694716,112,-0.07595276832580566
12,-351.1244315660497,96,-0.1351776123046875
13,-112.45520139597161,90,0.4391626715660095
14,-50.078869275680184,71,-0.290671706199646
15,-69.28020980078269,119,0.43345773220062256
16,-88.74544996022699,75,0.8604720830917358
17,-69.0416141084271,72,0.3637748956680298
18,-181.3430556434414,106,0.24978190660476685
19,-106.99182645138961,74,-0.9868166446685791
20,-251.00565060610165,91,-0.45943737030029297
21,-119.37885087389847,71,-0.7942208051681519
22,-26.18738634878791,64,0.9114723205566406
23,-262.6963765517726,75,-1.0701708793640137
24,-33.198310928584235,78,0.7922399044036865
25,-165.52818131288194,111,-0.5957335233688354
26,-316.6254909201434,75,-0.2966502904891968
27,-120.38425752280065,73,-0.7254267334938049
28,-277.8870365927027,103,-0.304726243019104
29,-114.15879576449511,75,-0.014241576194763184
30,-268.7338715918254,79,0.7545425891876221
31,-436.34676599308943,82,0.9286410808563232
32,-237.62462688536507,83,-0.4590187072753906
33,-225.4241754325431,78,0.5641754269599915
34,-91.8759124625486,81,0.4583930969238281
35,-186.90874037172085,81,-0.12506318092346191
36,-136.57993968032883,93,0.26697856187820435
37,-108.21810283399331,104,-0.6540546417236328
38,-72.61003532008937,65,-0.7430790066719055
39,-105.23060270363011,58,0.04742741584777832
40,-294.8713467058135,99,0.0753287672996521
41,-107.31894221362683,92,-1.2947916984558105
42,-190.94625138163275,103,-0.3786962032318115
43,-99.29674536988486,68,-0.3235706090927124
44,-123.42714944340497,101,-0.7257685661315918
45,-120.27818450948755,121,0.1359405517578125
46,-113.32676455941153,61,0.6793996691703796
47,-133.23718285166723,85,0.20235693454742432
48,-113.07277071866673,104,-0.16989398002624512
49,16.767655037925863,100,-0.7663365602493286
50,-164.51368313509272,82,0.07064151763916016
51,-152.90269088102883,82,-0.32234644889831543
52,-383.09560592460605,86,-0.30954301357269287
53,-255.28264070207305,104,-0.4235016107559204
54,-100.1012315819159,69,-0.05094504356384277
55,-157.73150585003287,90,-2.2217955589294434
56,-117.96977266122198,72,-0.8492776155471802
57,-442.81255735495984,120,-1.3449928760528564
58,-169.49323975753165,103,-1.4159560203552246
59,-51.90744159491025,87,-0.058002471923828125
60,-110.90908433135249,64,-0.2731499671936035
61,-133.3673370253452,68,-1.4932072162628174
62,-237.87285432210808,68,-0.3566018342971802
63,-66.13490032751747,88,0.14214229583740234
64,-226.53928283559168,86,1.012235403060913
65,-204.03831360374,114,-0.0024563074111938477
66,-316.1565463328418,146,0.5983680486679077
67,-166.04430683255205,123,-0.6748536825180054
68,-157.991156595865,81,-0.6351068019866943
69,-162.6103128047214,94,-1.352003574371338
70,-103.1953686570288,122,-0.1499251127243042
71,-80.2173320948041,79,0.20421838760375977
72,48.3486326416733,1000,2.761373996734619
73,-107.98762092276725,74,-0.6692888140678406
74,-288.93507752002995,106,4.003900051116943
75,-130.19882685397653,99,0.23773729801177979
76,-86.19695984755049,74,0.5550858974456787
77,-130.91257017869106,115,-0.8346154689788818
78,-77.48848056781284,113,-0.14010143280029297
79,-111.06518390204558,71,-0.0805131196975708
80,-281.64030568688264,125,-1.0986709594726562
81,-222.76884400710875,114,0.13327527046203613
82,-152.14667331560327,77,-0.261411190032959
83,-254.19234565070732,111,-1.0494883060455322
84,-103.38382884565746,91,0.3201247453689575
85,-54.48162243397648,60,0.07664793729782104
86,-67.01284810778466,76,0.14638757705688477
87,-220.1550749679906,84,-2.0588884353637695
88,-257.7319782050421,93,-3.2046501636505127
89,-93.4429720620802,87,-0.3061842918395996
90,-133.55286283525845,127,-0.8546559810638428
91,-80.11177299724483,100,0.7108713388442993
92,-326.3321740252909,104,0.43660426139831543
93,-142.40846698870516,106,-0.014892995357513428
94,-107.47534932973522,76,-0.802482545375824
